figure_group,local_code,original_source,role,reproduction_status
numerical_nonidentifiability,01_main_text/03_numerical_nonidentifiability/code/quantile_corrugated_density_curve_grid.R,latest Euclidean manuscript ZIP lambda_selection_figs/quantile_corrugated_density_curve_grid.R,generate Figure 5.1 density-and-curve grid,runnable base-R pipeline
downstream_tuning_experiments,01_main_text/04_downstream_tuning/code_and_results/1d_sd04/generate-results.R,former package workspace Examples/notebooks/pme-extrinsic-regression-fixed-design-noise-004/generate-results.R,run the one-dimensional SD 0.04 experiment,full run is computationally expensive
downstream_tuning_experiments,01_main_text/04_downstream_tuning/code_and_results/1d_sd04/make-drop-in-figures.R,former package workspace Examples/notebooks/pme-extrinsic-regression-fixed-design-noise-004/make-drop-in-figures.R,render one-dimensional diagnostics from saved results,runnable from saved RDS
downstream_tuning_experiments,01_main_text/04_downstream_tuning/code_and_results/2d_flower/generate-results.R,former package workspace Examples/notebooks/pme-extrinsic-regression-2d-flower-kfold/generate-results.R,run the two-dimensional flower experiment,full run is computationally expensive
downstream_tuning_experiments,01_main_text/04_downstream_tuning/code_and_results/2d_flower/render-local-linear-composite-figures.R,former package workspace Examples/notebooks/pme-extrinsic-regression-2d-flower-kfold/render-local-linear-composite-figures.R,assemble current Figure 5.2 and component figures,runnable from saved RDS and CSV files
overview_and_preliminaries,01_main_text/01_overview_and_preliminaries/code/generate_1d_results.R,90_RESEARCH_ARCHIVE/original_hpc_jobs/1d_job_local.R,generate interval and periodic result files,runnable pipeline
overview_and_preliminaries,01_main_text/01_overview_and_preliminaries/code/plot_1d_figures.R,90_RESEARCH_ARCHIVE/original_hpc_jobs/res_to_plot_1d_job.R,assemble interval_S1_full.png,runnable after generation
principal_manifold_estimation,01_main_text/02_principal_manifold_estimation/code/surface_and_curve_examples.Rmd,90_RESEARCH_ARCHIVE/notebooks/chronological/(38) pme examples.Rmd,generate 2d3D_star_moon and related examples,run relevant notebook section
principal_manifold_estimation,01_main_text/02_principal_manifold_estimation/code/paper_simulations_and_monte_carlo.Rmd,90_RESEARCH_ARCHIVE/notebooks/chronological/(33) paper simulations.Rmd,generate PME_monte_carlo_star2 and simulation panels,long-running sections
surface_reconstruction_comparison,02_appendix/01_surface_reconstruction_comparison/code/poisson_comparison.Rmd,90_RESEARCH_ARCHIVE/notebooks/chronological/(45) mesh explorations.Rmd,generate TDA and Poisson comparison,runnable with graphics snapshot step
algorithm_initialization,02_appendix/02_algorithm_initialization/code/isomap_initialization.Rmd,90_RESEARCH_ARCHIVE/notebooks/chronological/(39) iso testing.Rmd,generate iso_1d_2d and initialization comparisons,load CompactPME first
algorithm_initialization,02_appendix/02_algorithm_initialization/code/isomap_unwinding_source.Rmd,90_RESEARCH_ARCHIVE/notebooks/chronological/(33) paper simulations.Rmd,generate isomap_unwind_first_vs_converged,long-running section
tuning_parameter_selection,02_appendix/03_tuning_parameter_selection/code/generate_1d_results.R,90_RESEARCH_ARCHIVE/original_hpc_jobs/1d_job_local.R,generate periodic and interval results,runnable pipeline
tuning_parameter_selection,02_appendix/03_tuning_parameter_selection/code/plot_1d_tuning_figures.R,90_RESEARCH_ARCHIVE/original_hpc_jobs/res_to_plot_1d_job.R,generate periodic and interval CV figures,runnable after generation
tuning_parameter_selection,02_appendix/03_tuning_parameter_selection/code/generate_sphere_results.R,90_RESEARCH_ARCHIVE/original_hpc_jobs/sphere_job.R,generate flower and cashew PME/TDA results,flower TDA block commented
tuning_parameter_selection,02_appendix/03_tuning_parameter_selection/code/plot_sphere_panels.R,90_RESEARCH_ARCHIVE/original_hpc_jobs/res_to_plot_8_panel_job.R,assemble flower and cashew panels,requires sphere results
tuning_parameter_selection,02_appendix/03_tuning_parameter_selection/code/hpc/sphere.sh,90_RESEARCH_ARCHIVE/original_hpc_jobs/sphere.sh,original SLURM submission settings,adjust cluster path before submission
additional_simulations,02_appendix/04_additional_simulations/code/one_dimensional_3d_examples.Rmd,90_RESEARCH_ARCHIVE/notebooks/chronological/(38) pme examples.Rmd,generate 1d3D figures,run Section 6 figures
additional_simulations,02_appendix/04_additional_simulations/code/asymptotic_simulations.Rmd,90_RESEARCH_ARCHIVE/notebooks/chronological/(33) paper simulations.Rmd,generate dist_lambda_infty,long-running sections
